Date,Open,High,Low,Close, Adj Close ,Volume
1989-09-01,4011.399902,4016,3881.5,3943,"3,933",3965700
1989-10-01,3944,4042.300049,3755.600098,3918.600098,"3,909",4003500
1989-11-01,3917.899902,3970,3902.899902,3942.800049,"3,933",5161800
1989-12-01,3950.300049,4009.100098,3911.199951,3969.800049,"3,960",3594500
1990-01-01,3962.199951,4020.899902,3690.5,3704.399902,"3,695",6316600
1990-02-01,3714,3795.300049,3628.399902,3686.699951,"3,677",5187000
1990-03-01,3682.5,3774.199951,3633.899902,3639.5,"3,630",4666100
1990-04-01,3599.399902,3654.800049,3323.300049,3340.899902,"3,332",4119000
1990-05-01,3349.100098,3587,3324.600098,3582,"3,573",4791500
1990-06-01,3607,3617.199951,3473.800049,3543.899902,"3,535",4533300
1990-07-01,3542.800049,3638.899902,3524.5,3561.100098,"3,552",3838400
1990-08-01,3560.600098,3592.300049,3329.699951,3346.300049,"3,338",5493400
1990-09-01,3327.100098,3338.300049,3144.199951,3159.399902,"3,151",4023800
1990-10-01,3169.699951,3208.100098,3007.800049,3081.300049,"3,073",4954300
1990-11-01,3074.199951,3152.199951,3049.5,3151,"3,143",4563000
1990-12-01,3161.199951,3263.699951,3150.600098,3256.800049,"3,249",4045500
1991-01-01,3246.100098,3272.899902,3150.899902,3272.899902,"3,265",4289200
1991-02-01,3271.800049,3537,3263.399902,3462.399902,"3,454",5886500
1991-03-01,3445.5,3598.100098,3445.399902,3495.699951,"3,487",5540900
1991-04-01,3491.300049,3554.5,3460.699951,3468.800049,"3,460",5462000
1991-05-01,3471.600098,3546.199951,3441.300049,3546.100098,"3,537",4748500
1991-06-01,3540.800049,3582.699951,3459.5,3465.800049,"3,457",4592300
1991-07-01,3485.800049,3564.699951,3471.199951,3539.600098,"3,538",4030300
1991-08-01,3536.100098,3552.600098,3469.5,3517.899902,"3,518",3944500
1991-09-01,3512.800049,3517,3378.399902,3387.899902,"3,388",4095100
1991-10-01,3393.899902,3515.899902,3324.199951,3515.800049,"3,516",5294400
1991-11-01,3520.100098,3604.100098,3430.699951,3448.5,"3,449",5357900
1991-12-01,3430.399902,3515.300049,3315.899902,3512.399902,"3,512",4682000
1992-01-01,3493,3672.600098,3478,3596.100098,"3,596",6728200
1992-02-01,3589.600098,3618.100098,3529.600098,3581.899902,"3,582",5523700
1992-03-01,3573.5,3588.800049,3401.5,3412.100098,"3,412",6189200
1992-04-01,3393.300049,3419.800049,3299.100098,3355.600098,"3,356",5075100
1992-05-01,3364.399902,3444.800049,3351.899902,3387.899902,"3,388",4979000
1992-06-01,3377.899902,3419.800049,3321.399902,3387.699951,"3,388",5731600
1992-07-01,3410.300049,3479.100098,3392.199951,3443.399902,"3,443",5641700
1992-08-01,3434.100098,3434.100098,3360.5,3402.899902,"3,403",4665400
1992-09-01,3399.100098,3472.399902,3289,3297.899902,"3,298",6610800
1992-10-01,3304.800049,3345.100098,3150,3336.100098,"3,336",6685100
1992-11-01,3335,3379.300049,3213.699951,3282.800049,"3,283",7130800
1992-12-01,3278.800049,3350.399902,3255.199951,3350.399902,"3,350",8319500
1993-01-01,3349,3356.699951,3263.199951,3305.5,"3,306",9008800
1993-02-01,3308.399902,3467.399902,3301,3451.699951,"3,452",9696300
1993-03-01,3447.800049,3614.699951,3425.300049,3602.399902,"3,602",12956300
1993-04-01,3598.600098,3789.699951,3582.699951,3789.399902,"3,789",13748700
1993-05-01,3787.600098,3883.399902,3762.699951,3882.600098,"3,883",13053400
1993-06-01,3875.5,4002.600098,3848.899902,3966.399902,"3,966",12360200
1993-07-01,3995,4003.699951,3827.399902,3967.199951,"3,967",11614000
1993-08-01,3972.399902,4144.399902,3945.899902,4137.600098,"4,138",11096300
1993-09-01,4124,4144,3918.100098,3990.600098,"3,991",12851100
1993-10-01,3985,4255.600098,3969.600098,4255.5,"4,256",11411400
1993-11-01,4228.299805,4303.299805,4160.200195,4180.200195,"4,180",15910000
1993-12-01,4195.700195,4330,4195.700195,4321.399902,"4,321",12802700
1994-01-01,4348,4574.299805,4344.600098,4554.899902,"4,555",16492600
1994-02-01,4574.799805,4601.100098,4327,4423.799805,"4,424",14593800
1994-03-01,4408.799805,4609.899902,4276.700195,4329.600098,"4,330",16970500
1994-04-01,4250.700195,4352.799805,4092.600098,4267.100098,"4,267",11635900
1994-05-01,4275.600098,4333.399902,4157.700195,4326.799805,"4,327",11850200
1994-06-01,4314.799805,4314.799805,3935.699951,4025.300049,"4,025",11787000
1994-07-01,4025.300049,4204,4025.300049,4179,"4,179",9839700
1994-08-01,4182.200195,4350.200195,4160.100098,4349.5,"4,350",12808100
1994-09-01,4335.399902,4436,4313.200195,4354.200195,"4,354",13001800
1994-10-01,4352.600098,4379.200195,4220.200195,4291.700195,"4,292",11033400
1994-11-01,4278.200195,4281.100098,3999.5,4093.399902,"4,093",11188800
1994-12-01,4096.200195,4213.799805,4016.5,4213.600098,"4,214",10915100
1995-01-01,4192.899902,4196.399902,3983.300049,4017.5,"4,018",11521900
1995-02-01,4039,4154.100098,4015.5,4124.799805,"4,125",11217100
1995-03-01,4113.899902,4320.5,4072.100098,4313.600098,"4,314",14290500
1995-04-01,4305.299805,4317.899902,4243,4279.5,"4,280",12154100
1995-05-01,4276.299805,4452.100098,4255.799805,4448.600098,"4,449",15052700
1995-06-01,4448.700195,4562.100098,4422.5,4527.200195,"4,527",14653400
1995-07-01,4527.200195,4718.299805,4527,4615.100098,"4,615",12494800
1995-08-01,4604.899902,4632.700195,4514.799805,4516.700195,"4,517",12074000
1995-09-01,4510.799805,4613.5,4486.899902,4529.799805,"4,530",12983100
1995-10-01,4513.299805,4518.799805,4280,4459.200195,"4,459",12047500
1995-11-01,4449.100098,4681.700195,4445,4661.200195,"4,661",14422900
1995-12-01,4658,4752.799805,4611.600098,4713.5,"4,714",13681600
1996-01-01,4707.399902,4987.899902,4707.399902,4968.399902,"4,968",13608500
1996-02-01,4983.399902,5066.799805,4923.799805,4933.700195,"4,934",17775200
1996-03-01,4947.200195,5004.799805,4870,4970.799805,"4,971",16026300
1996-04-01,4970.200195,5154.299805,4949.100098,5146.5,"5,147",14106700
1996-05-01,5142.700195,5248.399902,5116.5,5246.399902,"5,246",18335100
1996-06-01,5234.600098,5243.600098,5006.100098,5044.100098,"5,044",16768900
1996-07-01,5070.399902,5098.299805,4814.100098,4929.200195,"4,929",14333900
1996-08-01,4933.200195,5200.700195,4933.200195,5143.399902,"5,143",15374900
1996-09-01,5120,5326.899902,5120,5291.100098,"5,291",17062300
1996-10-01,5296.299805,5601.899902,5294.600098,5598.799805,"5,599",21980900
1996-11-01,5606,6019.100098,5579.299805,6016.700195,"6,017",22887200
1996-12-01,5978.899902,5996.799805,5672.200195,5927,"5,927",17763200
1997-01-01,5917.799805,6144.299805,5872.200195,6109.600098,"6,110",23648400
1997-02-01,6123.200195,6260.700195,6063.100098,6157.799805,"6,158",23289900
1997-03-01,6125,6348,5808.5,5850.200195,"5,850",19454900
