Month End Date,Value Factor ETF,Size Factor ETF,Quality Factor ETF,Momentum Factor ETF,Min Vol Factor ETF
30-Apr-13,--,--,,--,2.72
31-May-13,3.11,0.02,,-0.08,-2.44
30-Jun-13,-1.34,-0.44,,-0.95,-0.33
31-Jul-13,5.4,5.2,--,6.3,3.62
31-Aug-13,-3.06,-3.27,-1.94,-3.44,-3.23
30-Sep-13,2.7,3.36,3.7,3.13,2.54
31-Oct-13,4.47,4.16,4.75,5.21,4.7
30-Nov-13,3.32,1.54,4.06,3.07,1.35
31-Dec-13,2.58,2.36,2.42,2.98,1.24
31-Jan-14,-3.92,-2.53,-4.14,-2.25,-2.99
28-Feb-14,4.22,4.84,4.84,6.63,4.33
31-Mar-14,1.87,0.89,-0.49,-3.39,0.82
30-Apr-14,0.89,0.78,0.92,-0.88,1.39
31-May-14,1.9,2,2.15,3.98,1.15
30-Jun-14,2.11,2.34,0.59,2.07,1.3
31-Jul-14,-1.34,-2.63,-0.83,-1.08,-1.53
31-Aug-14,3.75,4.23,4.51,4.64,4.06
30-Sep-14,-1.95,-2.04,-1.04,-0.61,-0.79
31-Oct-14,2.05,3.91,2.88,2.31,4.3
30-Nov-14,2.14,2.76,2.37,3.75,3.41
31-Dec-14,0.25,0.57,-0.35,-1.05,0.09
31-Jan-15,-4.03,-1.74,-1.69,-0.6,-0.49
28-Feb-15,5.98,4.46,6.02,5.44,3.65
31-Mar-15,-1.47,-0.45,-1.57,-1.16,-0.74
30-Apr-15,1.2,-0.65,0.3,-0.88,-0.58
31-May-15,1.02,1.27,1.44,3.28,1.07
30-Jun-15,-1.99,-2.06,-1.97,-0.27,-2.23
31-Jul-15,0.76,2.25,2.92,3.87,3.94
31-Aug-15,-6,-5.33,-5.37,-5.96,-4.49
30-Sep-15,-2.86,-1.91,-1.23,-1.93,-0.57
31-Oct-15,7.38,6.47,8.59,7.26,5.96
30-Nov-15,-0.68,0.44,0.41,0.51,-0.21
31-Dec-15,-2.11,-1.84,-1.64,-0.07,0.51
31-Jan-16,-8.14,-4.67,-4.48,-3.7,-1.41
29-Feb-16,1.25,0.91,0.53,-1.32,1.07
31-Mar-16,7.05,7.33,6.34,5.25,6.01
30-Apr-16,0.75,0.54,-0.35,-0.66,-0.45
31-May-16,1.47,1.77,1.01,2.45,1.58
30-Jun-16,-1.22,1.02,0.51,2.98,4.56
31-Jul-16,4.53,3.21,3.03,2.67,1.47
31-Aug-16,1.21,-0.13,-0.19,-1.47,-1.96
30-Sep-16,0.73,-0.37,-0.11,0.47,-0.67
31-Oct-16,-1.24,-2.24,-2.04,-1.97,-2.8
30-Nov-16,6.98,4.02,2.95,-0.61,0.63
31-Dec-16,2.19,1.67,2.01,1.03,2.37
31-Jan-17,1.34,1.9,1.22,3.33,1.31
28-Feb-17,4.6,4,4.69,3.69,4.52
31-Mar-17,-1.14,-0.26,-0.03,2.13,0.1
30-Apr-17,0.19,0.95,0.55,2.52,1.45
31-May-17,-0.11,1.37,1.56,4.81,2.05
30-Jun-17,1.22,0.94,0.58,0.38,-0.41
31-Jul-17,1.93,1.44,0.93,3.41,2
31-Aug-17,0.24,-0.38,0.55,1.48,0.82
30-Sep-17,3.53,1.8,2.65,2.86,0.52
31-Oct-17,2.55,1.6,2.86,4.98,1.93
30-Nov-17,4.24,3.73,3.72,2.79,3.12
31-Dec-17,1.62,0.43,1.11,0.09,0.2
31-Jan-18,4.33,3.9,4.57,8.19,3.49
28-Feb-18,-3.23,-4.25,-2.83,-1.43,-4.21
31-Mar-18,-2.31,-0.42,-1.32,-3.66,-0.25
30-Apr-18,0.43,-0.16,-1.34,0.77,0.06
31-May-18,1.97,1.09,2.75,3.49,1.1
30-Jun-18,-1.05,1.17,-0.05,-0.16,1.68
31-Jul-18,3.39,3.29,3.75,1.86,3.33
31-Aug-18,3.65,2.09,3.69,5.85,3.08
30-Sep-18,-0.18,0.15,1.09,0.92,1.23
31-Oct-18,-5.9,-5.94,-7.49,-9.8,-4.03
30-Nov-18,-0.54,3.38,1.01,1.37,3.71
31-Dec-18,-11.23,-10,-8.72,-7.7,-7.12
31-Jan-19,9.96,10.17,8.39,6.66,5.76
28-Feb-19,1.93,3.97,4.33,3.33,3.77
31-Mar-19,-0.94,0.61,2.58,2.16,2.68
30-Apr-19,3.46,3.73,3.78,2.31,2.18
31-May-19,-9.62,-6.86,-6.63,-2.31,-1.63
30-Jun-19,9.46,7.52,7.17,6.21,5.02
31-Jul-19,1.68,1.07,1.33,1.82,1.64
31-Aug-19,-4.44,-3.35,-1.7,0.26,1.66
30-Sep-19,4.78,2.55,1.73,-1.21,0.89
31-Oct-19,2.8,1.29,2.24,0.61,-0.17
30-Nov-19,3.69,3.7,4.43,3.35,1.31
31-Dec-19,3.35,2.46,2.92,1.78,1.88
31-Jan-20,-3.79,-1.2,-0.67,3.67,2.32
29-Feb-20,-9.69,-8.71,-8.38,-7.36,-8.12
31-Mar-20,-18.52,-18.23,-11.43,-11.41,-11.93
30-Apr-20,11.33,13.78,12.36,11.75,9.29
31-May-20,3.62,6.59,5.57,5.95,4.35
30-Jun-20,0.24,1.59,0.24,4.35,-1.05
31-Jul-20,0.95,5.15,4.82,6.82,4.48
31-Aug-20,3.95,4.48,6.98,9.65,2.87
30-Sep-20,-2.08,-2.05,-3.15,-3.88,-1.64
31-Oct-20,-1.18,-0.29,-2.79,-4.19,-3.45
30-Nov-20,16.44,14.29,11.46,10.56,8.2
31-Dec-20,2.98,4.37,3.72,3.46,2.33
31-Jan-21,3.3,-0.95,-2.82,1.66,-2.68
28-Feb-21,6.94,5.27,3.29,-0.59,-0.39
31-Mar-21,7.19,3.68,4.79,-1.24,5.51
30-Apr-21,1.73,4.93,4.87,7.1,4.05
31-May-21,2.89,1.49,1.07,-1.11,0.81
30-Jun-21,-1.51,1.65,3.32,1.9,1.8
31-Jul-21,-0.77,1.29,3.38,0.93,3.48
31-Aug-21,0.82,2.34,2.84,4.14,1.93
30-Sep-21,-3.55,-4.42,-6.4,-3.49,-4.97
31-Oct-21,2.49,6,7.66,8.55,5.45
30-Nov-21,-0.92,-2.79,-0.63,-3.87,-1.99
31-Dec-21,7.83,4.66,3.51,-0.5,6.77
31-Jan-22,-1.93,-5.88,-6.89,-9.06,-5.91
28-Feb-22,-2.19,-1.17,-4.16,-2.67,-3.06
31-Mar-22,0.29,2.41,3.75,4.63,5.48
30-Apr-22,-5.76,-7.11,-8.06,-12.58,-5.27
31-May-22,3.88,0.5,-0.18,-0.55,-0.02
30-Jun-22,-11.02,-9.32,-9.05,-6.49,-4.12
31-Jul-22,5.93,8.91,9.15,5.18,5.1
31-Aug-22,-3.54,-3.25,-5.02,-1.91,-3.07
30-Sep-22,-10.73,-9.52,-9.81,-6.04,-7.19
31-Oct-22,13.14,8.77,8.23,12.52,7.8
30-Nov-22,5.82,6.16,7.83,3.56,5.76
31-Dec-22,-6.16,-5.21,-5.59,-3.86,-3.75
31-Jan-23,7.12,8.26,7.02,-0.64,1.47
28-Feb-23,-3.9,-3.35,-2.68,-3.98,-3.44
31-Mar-23,-0.43,-0.61,4.79,0.39,3.36
30-Apr-23,-1.1,-0.68,1.66,2.42,1.49
31-May-23,-3.69,-2.2,0.67,-4.9,-3.25
30-Jun-23,7.01,7.67,6.51,6.97,4.5
31-Jul-23,3.68,4.22,3.73,1.73,1.35
31-Aug-23,-2.9,-3.28,-0.41,0.28,-0.57
30-Sep-23,-3.21,-4.72,-5.08,-4.79,-2.84
31-Oct-23,-3.58,-4.51,-1.41,-1.64,-0.88
30-Nov-23,8.17,9.9,8.55,9.21,6.4
31-Dec-23,7.63,7.48,4.8,4.79,2.7
31-Jan-24,-0.85,-0.91,2.24,5.6,2.24
29-Feb-24,2.61,4.56,6.53,10.05,2.09
31-Mar-24,5.96, 4.37, 2.66,2.91,3.14
30-Apr-24,-6.83,-5.30 , -4.43,-5.56,-3.71
31-May-24,3.05 ,2.54 , 5.56,5.33,2.79
30-Jun-24,-0.04 ,-0.13 , 3.17,4.57,1.78
31-Jul-24,4.04, 4.14,0.73 ,-1.96,3.72
31-Aug-24,0.38,2.42 , 3.49,3.40,4.93
30-Sep-24,1.77,2.11 , 1.12,2.85,0.43
31-Oct-24,-1.29,-1.04 ,-1.55 ,-0.14,-1.46
30-Nov-24,6.38,7.65 , 4.88,6.92,5.02
31-Dec-24,-7.17,-6.25 ,-3.52 ,-4.04,-5.59
31-Jan-25,4.23, 4.13,2.95,5.92,3.58
