,% Shock,% Shock,,Active,Active,Active
year,GDP,RTS,Tbills,Fixed Inc,Equity,Real Estate
1990,-1.56,-0.09,13.54,6.84,-12.46,5.81
1991,-1.76,-2.19,9.24,14.7,15.61,4.49
1992,3.86,-0.4,6.68,9.54,2.6,14.7
1993,-0.54,-1.6,5.36,19.2,28.77,3.25
1994,1.49,1.63,5.34,-3.45,1.31,7.56
1995,-1.11,-1.96,7.31,19.65,18.42,0.94
1996,1.32,-0.76,4.58,14.32,27.16,7.49
1997,0.9,-0.37,3.5,9.92,19.84,3.72
1998,0.26,-0.31,4.69,9.16,6.41,8.07
1999,0.5,1.16,4.65,-0.94,28.14,6.72
2000,-0.4,-0.46,5.49,10.92,3.65,0.57
2001,-2.9,-0.16,4.73,8.1,-10.78,1.95
2002,0.97,-0.25,2.51,12.23,-15.4,4.62
2003,1.35,0.04,2.92,5.99,20.67,14.37
2004,1.17,-0.01,2.28,7.23,11.23,2.18
2005,-0.06,0.06,2.6,5.67,17.58,0.84
2006,-0.43,0.44,3.95,4.42,17.04,10.63
2007,-0.75,0.5,4.35,4.05,7.12,4.38
2008,-1.78,0.16,3.25,3.97,-31.47,11.75
2009,-2.17,0.28,0.45,13.98,33.63,9.84
2010,5.33,0.1,0.53,7.03,16.44,14.91
2011,-0.78,-0.29,0.99,8.87,-7.8,12.14
2012,0.93,0.52,1.02,5.01,8.3,13.48
2013,-0.18,1.16,1,0.32,16.97,6.72
2014,0.91,-0.1,0.91,9.25,17.31,10.89
2015,0.78,0.56,0.64,3.98,5.49,4.33
2016,-1.13,0.79,0.52,3.88,14.92,2.71
2017,0.85,0.68,0.52,3.9,11.43,13.39
2018,0.89,0.82,1.37,1.73,-2.66,11.35
2019,-0.61,0.14,1.64,6.75,24.11,4.09
2020,-5.42,-0.09,0.87,12.76,10.97,-3.27
