Month End Date,iShares Short Treasury Bond ETF,iShares Core S&P Total U.S. Stock Market ETF,iShares U.S. Treasury Bond ETF,iShares U.S. Real Estate ETF,iShares TIPS Bond ETF
30-Jun-00,--,--,--,--,--
31-Jul-00,--,--,--,9.56,--
31-Aug-00,--,--,--,-2.48,--
30-Sep-00,--,--,--,3.61,--
31-Oct-00,--,--,--,-5.08,--
30-Nov-00,--,--,--,1.18,--
31-Dec-00,--,--,--,6.95,--
31-Jan-01,--,--,--,0.82,--
28-Feb-01,--,--,--,-1.75,--
31-Mar-01,--,--,--,0.53,--
30-Apr-01,--,--,--,2.63,--
31-May-01,--,--,--,2.25,--
30-Jun-01,--,--,--,5.76,--
31-Jul-01,--,--,--,-2.29,--
31-Aug-01,--,--,--,3.06,--
30-Sep-01,--,--,--,-4.85,--
31-Oct-01,--,--,--,-3.34,--
30-Nov-01,--,--,--,5.81,--
31-Dec-01,--,--,--,2.38,--
31-Jan-02,--,--,--,0.02,--
28-Feb-02,--,--,--,1.88,--
31-Mar-02,--,--,--,5.98,--
30-Apr-02,--,--,--,0.58,--
31-May-02,--,--,--,1.66,--
30-Jun-02,--,--,--,2.06,--
31-Jul-02,--,--,--,-5.06,--
31-Aug-02,--,--,--,0.35,--
30-Sep-02,--,--,--,-4.56,--
31-Oct-02,--,--,--,-4.58,--
30-Nov-02,--,--,--,4.81,--
31-Dec-02,--,--,--,0.54,--
31-Jan-03,--,--,--,-3.1,--
28-Feb-03,--,--,--,1.38,--
31-Mar-03,--,--,--,1.95,--
30-Apr-03,--,--,--,4.22,--
31-May-03,--,--,--,5.86,--
30-Jun-03,--,--,--,2.11,--
31-Jul-03,--,--,--,5.35,--
31-Aug-03,--,--,--,0.52,--
30-Sep-03,--,--,--,3.12,--
31-Oct-03,--,--,--,1.98,--
30-Nov-03,--,--,--,4.3,--
31-Dec-03,--,--,--,3.58,--
31-Jan-04,--,--,--,4.19,1.15
29-Feb-04,--,1.48,--,2.07,2.29
31-Mar-04,--,-1.26,--,5.34,1.55
30-Apr-04,--,-1.79,--,-15.11,-4.87
31-May-04,--,1.42,--,7,1.69
30-Jun-04,--,2.08,--,2.86,0.14
31-Jul-04,--,-3.51,--,0.15,0.87
31-Aug-04,--,0.27,--,8.2,2.7
30-Sep-04,--,1.39,--,-0.11,0.18
31-Oct-04,--,1.52,--,4.79,0.96
30-Nov-04,--,4.37,--,4.43,-0.25
31-Dec-04,--,3.4,--,5.14,1.72
31-Jan-05,--,-2.45,--,-8.05,0
28-Feb-05,--,2.22,--,2.58,-0.42
31-Mar-05,--,-1.75,--,-2.16,0.06
30-Apr-05,--,-2.22,--,5.63,1.86
31-May-05,--,3.53,--,3.56,0.69
30-Jun-05,--,0.45,--,4.47,0.4
31-Jul-05,--,3.94,--,6.63,-2.09
31-Aug-05,--,-0.98,--,-4.21,2.29
30-Sep-05,--,0.82,--,-0.21,-0.17
31-Oct-05,--,-1.81,--,-2.45,-1.29
30-Nov-05,--,3.88,--,4.46,0.13
31-Dec-05,--,0.03,--,-0.32,1.24
31-Jan-06,--,3.16,--,6.98,0.02
28-Feb-06,--,0.11,--,1.81,-0.07
