DATE,INDPRO,BAA,AAA,L1_INDPRO,MP,UPR,UTS,UTS_Interpolated,UI,DEI,TB1M
1941-01-31,10.0019,4.38,2.75,,,0.0163,,,,,
1941-02-28,10.2976,4.42,2.78,10.0019,0.029135783429540485,0.0164,,,,,
1941-03-31,10.6203,4.38,2.8,10.2976,0.030856405626507488,0.0158,,,,,
1941-04-30,10.6471,4.33,2.82,10.6203,0.0025202906030665773,0.015100000000000002,,,,,
1941-05-31,11.1311,4.32,2.81,10.6471,0.04445543778407268,0.015100000000000002,,,,,
1941-06-30,11.2118,4.31,2.77,11.1311,0.007223802723241857,0.015399999999999995,,,,,
1941-07-31,11.3462,4.28,2.74,11.2118,0.011916090993913553,0.0154,,,,,
1941-08-31,11.4806,4.27,2.74,11.3462,0.011775768227350714,0.015299999999999994,,,,,
1941-09-30,11.4806,4.3,2.75,11.4806,0.0,0.015499999999999998,,,,,
1941-10-31,11.5882,4.28,2.73,11.4806,0.009328684657829989,0.015500000000000003,,,,,
1941-11-30,11.642,4.28,2.72,11.5882,0.0046319098576885764,0.015600000000000001,,,,,
1941-12-31,11.8302,4.38,2.8,11.642,0.01603633516859615,0.0158,,,,,
1942-01-31,12.0721,4.29,2.83,11.8302,0.020241421044643104,0.0146,,,,,
1942-02-28,12.2872,4.29,2.85,12.0721,0.017661065056498337,0.0144,,,,,
1942-03-31,12.4217,4.3,2.86,12.2872,0.010886873025826471,0.0144,,,,,
1942-04-30,12.0721,4.26,2.83,12.4217,-0.02854793808232481,0.014299999999999997,,,,,
1942-05-31,12.099,4.27,2.85,12.0721,0.0022257994965579897,0.014199999999999996,,,,,
1942-06-30,12.1259,4.33,2.85,12.099,0.0022208563136567605,0.0148,,,,,
1942-07-31,12.4217,4.3,2.83,12.1259,0.02410128227211006,0.014699999999999998,,,,,
1942-08-31,12.7981,4.28,2.81,12.4217,0.02985177926252769,0.014700000000000001,,,,,
1942-09-30,13.0938,4.26,2.8,12.7981,0.02284211332323638,0.0146,,,,,
1942-10-31,13.524,4.24,2.8,13.0938,0.0323270491147678,0.014400000000000003,,,,,
1942-11-30,13.8467,4.25,2.79,13.524,0.02358105224956697,0.0146,,,,,
1942-12-31,14.1693,4.28,2.81,13.8467,0.02303071524601208,0.014700000000000001,,,,,
1943-01-31,14.3037,4.16,2.79,14.1693,0.009440592715637575,0.0137,,,,,
1943-02-28,14.6801,4.08,2.77,14.3037,0.025974590095412697,0.0131,,,,,
1943-03-31,14.7877,4.01,2.76,14.6801,0.007302918997377006,0.0125,,,,,
1943-04-30,14.9759,3.96,2.76,14.7877,0.0126464882128694,0.012000000000000002,,,,,
1943-05-31,15.0834,3.91,2.74,14.9759,0.007152558995044966,0.011699999999999999,,,,,
1943-06-30,15.0028,3.88,2.72,15.0834,-0.005357951008738038,0.011599999999999997,,,,,
1943-07-31,15.4599,3.81,2.69,15.0028,0.03001272448423009,0.011200000000000002,,,,,
1943-08-31,15.7825,3.81,2.69,15.4599,0.02065215642659135,0.011200000000000002,,,,,
1943-09-30,16.1858,3.83,2.69,15.7825,0.025232583380180085,0.0114,,,,,
1943-10-31,16.4278,3.82,2.7,16.1858,0.014840707043882073,0.011199999999999996,,,,,
1943-11-30,16.6429,3.83,2.71,16.4278,0.013008677370716537,0.011200000000000002,,,,,
1943-12-31,16.4278,3.82,2.74,16.6429,-0.013008677370716537,0.010799999999999997,,,,,
1944-01-31,16.616,3.76,2.72,16.4278,0.01139106489010544,0.010399999999999996,,,,,
1944-02-29,16.7504,3.72,2.74,16.616,0.008056052009142167,0.0098,,,,,
1944-03-31,16.7235,3.7,2.74,16.7504,-0.0016072226893544261,0.0096,,,,,
1944-04-30,16.7235,3.68,2.74,16.7235,0.0,0.009399999999999999,,,,,
1944-05-31,16.616,3.63,2.73,16.7235,-0.006448829319787741,0.009,,,,,
1944-06-30,16.5622,3.59,2.73,16.616,-0.0032430961989637908,0.008599999999999998,,,,,
1944-07-31,16.5353,3.57,2.72,16.5622,-0.001625500773354549,0.008499999999999997,,,,,
1944-08-31,16.7504,3.55,2.71,16.5353,0.012924648981460507,0.008399999999999998,,,,,
1944-09-30,16.6429,3.56,2.72,16.7504,-0.00643843952853107,0.008399999999999998,,,,,
1944-10-31,16.6967,3.55,2.72,16.6429,0.0032273960514688227,0.008299999999999997,,,,,
1944-11-30,16.5622,3.53,2.72,16.6967,-0.00808810473104371,0.008099999999999996,,,,,
1944-12-31,16.5084,3.49,2.7,16.5622,-0.0032536481020342123,0.0079,,,,,
1945-01-31,16.3471,3.46,2.69,16.5084,-0.009818830692056135,0.0077,,,,,
1945-02-28,16.2934,3.41,2.65,16.3471,-0.0032903937408699235,0.007600000000000003,,,,,
1945-03-31,16.1858,3.38,2.62,16.2934,-0.0066258032000634515,0.007599999999999998,,,,,
1945-04-30,15.8901,3.36,2.61,16.1858,-0.01843804084479661,0.0075,,,,,
1945-05-31,15.4599,3.32,2.62,15.8901,-0.027446698961974825,0.0069999999999999975,,,,,
1945-06-30,15.1103,3.29,2.61,15.4599,-0.022872944344441315,0.006800000000000001,,,,,
1945-07-31,14.7608,3.26,2.6,15.1103,-0.023401612243075576,0.006599999999999997,,,,,
1945-08-31,13.2283,3.26,2.61,14.7608,-0.1096165442177508,0.006499999999999999,,,,,
1945-09-30,12.0453,3.24,2.62,13.2283,-0.0936839316708653,0.006200000000000001,,,,,
1945-10-31,11.5613,3.2,2.62,12.0453,-0.04101122868806906,0.0058000000000000005,,,,,
1945-11-30,11.9915,3.15,2.62,11.5613,0.03653475179923271,0.005299999999999998,,,,,
1945-12-31,12.0453,3.1,2.61,11.9915,0.004476476888836345,0.0049000000000000024,,,,,
1946-01-31,11.3731,3.01,2.54,12.0453,-0.0574236244384978,0.004699999999999998,,,,,
1946-02-28,10.8085,2.95,2.48,11.3731,-0.05091805630245094,0.004700000000000002,,,,,
1946-03-31,11.9377,2.94,2.47,10.8085,0.09936859797723407,0.004699999999999998,,,,,
1946-04-30,11.7226,2.96,2.46,11.9377,-0.018182857044445555,0.005,,,,,
1946-05-31,11.2924,3.02,2.51,11.7226,-0.037388669476369873,0.005100000000000002,,,,,
1946-06-30,11.9915,3.03,2.49,11.2924,0.06006813239569375,0.005399999999999996,,,,,
1946-07-31,12.3948,3.03,2.48,11.9915,0.03307896435036817,0.005499999999999998,,,,,
1946-08-31,12.8519,3.03,2.51,12.3948,0.03621463051475571,0.0052,,,,,
1946-09-30,13.0938,3.1,2.58,12.8519,0.018647175397664917,0.0052,,,,,
1946-10-31,13.3358,3.15,2.6,13.0938,0.018313312604564924,0.005499999999999998,,,,,
1946-11-30,13.4165,3.17,2.59,13.3358,0.006033144423619241,0.0058000000000000005,,,,,
1946-12-31,13.4971,3.17,2.61,13.4165,0.0059895547945059135,0.005600000000000001,,,,,
1947-01-31,13.6585,3.13,2.57,13.4971,0.011887190896309185,0.005600000000000001,,,,,
1947-02-28,13.7391,3.12,2.55,13.6585,0.005883744015564574,0.005700000000000003,,,-0.0109270985768556,0.0109270985768556,0.0035497098540908
1947-03-31,13.8198,3.15,2.55,13.7391,0.0058565639893419785,0.006000000000000001,0.013,,0.0174236411472539,-0.0174236411472539,0.0035494704303283
1947-04-30,13.7122,3.16,2.53,13.8198,-0.007816398941431046,0.0063000000000000035,0.013,,-0.0059050818877142,0.0059050818877142,0.0035499699571902
1947-05-31,13.766,3.17,2.53,13.7122,0.003915836462825784,0.006400000000000001,0.013,,-0.009 ,-0.002 ,
1947-06-30,13.766,3.21,2.55,13.766,0.0,0.006600000000000002,0.013,,-0.0008654246794965,0.0008654246794965,0.0035494704303283
1947-07-31,13.6853,3.18,2.55,13.766,-0.005879519911606401,0.0063000000000000035,0.013,,-0.0126819193596046,0.0126819193596046,0.005440549896852
1947-08-31,13.766,3.17,2.56,13.6853,0.005879519911606401,0.006099999999999999,0.012,,0.002 ,0.000 ,
1947-09-30,13.8736,3.23,2.61,13.766,0.007785969664586556,0.006200000000000001,0.012,,0.0163923142492206,-0.0163923142492206,0.0078636065988678
1947-10-31,14.008,3.35,2.7,13.8736,0.009640841342791528,0.006499999999999999,0.012,,-0.0120036549843116,0.0120036549843116,0.0083709506206553
1947-11-30,14.1962,3.44,2.77,14.008,0.01334572817708457,0.006699999999999999,0.013,,-0.001 ,0.000 ,
1947-12-31,14.25,3.52,2.86,14.1962,0.003782583554024388,0.006600000000000002,0.014,,0.0222717690376854,-0.0222717690376854,0.0091831813499138
1948-01-31,14.3306,3.52,2.86,14.25,0.005640204451261344,0.006600000000000002,0.013,,0.002 ,0.000 ,
1948-02-29,14.3575,3.53,2.85,14.3306,0.0018753425903939025,0.006799999999999997,0.013,,-0.010 ,-0.002 ,
1948-03-31,14.1962,3.53,2.83,14.3575,-0.011298130595679634,0.0069999999999999975,0.013,,-0.0207331451528194,0.0207331451528194,0.0098684466061916
1948-04-30,14.2231,3.47,2.78,14.1962,0.001893080268239089,0.006900000000000004,0.013,,0.0077111729116206,-0.0077111729116206,0.0099193846328676
1948-05-31,14.4651,3.38,2.76,14.2231,0.016871448214180074,0.006200000000000001,0.012,,0.002 ,0.001 ,
1948-06-30,14.6533,3.34,2.76,14.4651,0.01292671442640092,0.0058000000000000005,0.013,,0.0045852168949269,-0.0045852168949269,0.0099450305261236
1948-07-31,14.6533,3.37,2.81,14.6533,0.0,0.005600000000000001,0.013,,0.004 ,0.001 ,
1948-08-31,14.5995,3.44,2.84,14.6533,-0.003678284516934305,0.006000000000000001,0.013,,0.0040981953984458,-0.0040981953984458,0.0080394930085919
1948-09-30,14.4919,3.45,2.84,14.5995,-0.007397408902316549,0.006100000000000003,0.012,,0.0033199728334647,-0.0033199728334647,0.0059599862859167
1948-10-31,14.5995,3.5,2.84,14.4919,0.007397408902316549,0.006600000000000002,0.012,,-0.006 ,-0.001 ,
1948-11-30,14.4113,3.53,2.84,14.5995,-0.012974660481846811,0.0069,0.012,,-0.0016260387465738,0.0016260387465738,0.0089279049342466
1948-12-31,14.2768,3.53,2.79,14.4113,-0.009376778906924343,0.007399999999999998,0.012,,-0.0028987901962356,0.0028987901962356,0.011315767138833
1949-01-31,14.1424,3.46,2.71,14.2768,-0.009458464839203096,0.0075,0.011,,0.0025090424443203,-0.0025090424443203,0.0114675219050985
1949-02-28,14.008,3.45,2.71,14.1424,-0.009548782340996098,0.007400000000000002,0.011,,-0.0041736287629285,0.0041736287629285,0.01136593125535
1949-03-31,13.7391,3.47,2.7,14.008,-0.0193828125181148,0.0077,0.01,,0.0004181476121978,-0.0004181476121978,0.011493671882814
1949-04-30,13.6585,3.45,2.7,13.7391,-0.005883744015564574,0.0075,0.011,,0.002 ,0.000 ,
1949-05-31,13.4702,3.45,2.71,13.6585,-0.013882200327878014,0.007400000000000002,0.009,,-0.0008362952243956,0.0008362952243956,0.011366059415396
1949-06-30,13.4434,3.47,2.71,13.4702,-0.001991558829594453,0.007600000000000003,0.01,,0.0004181476121978,-0.0004181476121978,0.0107575409427419
