"date,def,def_adj,def_us,term,term_us"
"31/01/1998,-0.010758,-0.008911,-0.010758,0.014915,0.010640"
"28/02/1998,0.006237,0.006074,0.006237,-0.000085,-0.007940"
"31/03/1998,0.001972,0.002732,0.001972,0.004067,-0.001754"
"30/04/1998,0.003519,0.004830,0.003519,-0.005077,-0.001100"
"31/05/1998,-0.001851,0.001217,-0.001851,0.009704,0.013721"
"30/06/1998,-0.012754,-0.010663,-0.012754,0.013775,0.018102"
"31/07/1998,-0.002414,-0.003689,-0.002414,-0.004673,-0.008896"
"31/08/1998,-0.044277,-0.044098,-0.044277,0.026946,0.032654"
"30/09/1998,-0.000272,0.008023,-0.000272,0.026076,0.022766"
"31/10/1998,-0.011949,-0.017843,-0.011949,-0.024708,-0.020119"
"30/11/1998,0.028957,0.036314,0.028957,0.015754,0.008981"
"31/12/1998,0.002703,0.002834,0.002703,-0.006778,-0.005862"
"31/01/1999,0.008007,0.010859,0.004084,0.013788,0.005284"
"28/02/1999,0.016780,0.009442,0.013942,-0.034594,-0.044251"
"31/03/1999,0.004676,0.005023,0.005355,-0.002363,-0.009102"
"30/04/1999,-0.000619,-0.000602,-0.000245,0.004778,-0.001726"
"31/05/1999,0.005780,0.002508,-0.001874,-0.016793,-0.014961"
"30/06/1999,0.005845,0.003037,-0.002645,-0.015255,-0.013501"
"31/07/1999,-0.009892,-0.010718,-0.005042,-0.016565,-0.008188"
"31/08/1999,-0.000506,-0.001459,-0.001828,-0.004175,-0.006861"
"30/09/1999,0.002459,0.003411,0.003204,-0.005682,0.001067"
"31/10/1999,0.006232,0.007055,0.005538,0.004304,-0.001789"
"30/11/1999,0.007207,0.006565,0.005066,0.001915,-0.008459"
"31/12/1999,0.002589,0.001430,0.005819,-0.012236,-0.015939"
"31/01/2000,0.000175,-0.000264,-0.016132,0.011521,0.014646"
"29/02/2000,-0.007852,-0.006812,-0.018430,0.022195,0.023566"
"31/03/2000,-0.024263,-0.022866,-0.025584,0.022427,0.027821"
"30/04/2000,0.004269,0.001640,-0.007653,0.004123,-0.010194"
"31/05/2000,-0.017472,-0.019833,-0.007769,-0.004457,-0.007899"
"30/06/2000,0.007964,0.012794,0.013807,-0.000859,0.011159"
"31/07/2000,0.014939,0.017029,0.001941,0.015770,0.010830"
"31/08/2000,0.007492,0.008166,-0.010222,0.006587,0.015435"
"30/09/2000,0.009018,0.009121,0.006620,-0.008326,-0.019534"
"31/10/2000,-0.001571,-0.002026,-0.015687,0.011163,0.010319"
"30/11/2000,-0.017383,-0.016054,-0.017680,0.019418,0.021993"
"31/12/2000,-0.026594,-0.024682,-0.006363,0.007174,0.011402"
"31/01/2001,0.033218,0.035644,0.044048,-0.000806,-0.011034"
"28/02/2001,-0.003840,-0.003714,-0.012029,0.008913,0.010476"
"31/03/2001,0.008295,0.007036,0.005531,0.005982,-0.013336"
"30/04/2001,0.017919,0.017547,0.020054,-0.027858,-0.029820"
"31/05/2001,0.028980,0.030068,0.012331,-0.011308,-0.004173"
"30/06/2001,-0.006116,-0.006196,-0.001593,0.013498,0.005135"
"31/07/2001,-0.010270,-0.007623,-0.001669,0.024401,0.025749"
"31/08/2001,-0.007581,-0.005450,-0.003128,-0.000914,0.015131"
"30/09/2001,-0.023982,-0.026226,-0.034004,-0.006971,-0.009040"
"31/10/2001,-0.007976,-0.003859,-0.002939,0.051517,0.039513"
"30/11/2001,0.022437,0.021567,0.036826,-0.026550,-0.045175"
"31/12/2001,0.011287,0.010096,0.010280,-0.006465,-0.019147"
"31/01/2002,0.011523,0.012272,0.002172,0.013547,0.010880"
"28/02/2002,-0.000879,-0.000655,-0.005502,-0.001682,0.006720"
"31/03/2002,-0.003015,-0.005634,0.012396,-0.023361,-0.033048"
"30/04/2002,-0.024257,-0.022367,-0.026377,0.010799,0.026176"
"31/05/2002,-0.009161,-0.007785,0.009503,-0.005883,-0.000655"
"30/06/2002,-0.043945,-0.043018,-0.025892,0.012150,0.009105"
"31/07/2002,-0.029531,-0.031028,-0.047688,0.013305,0.018350"
"31/08/2002,0.011829,0.017039,0.004915,0.027782,0.040138"
"30/09/2002,-0.007949,-0.005834,-0.022448,0.023816,0.033087"
"31/10/2002,-0.004760,-0.007121,0.003513,-0.016586,-0.031008"
"30/11/2002,0.024216,0.026725,0.043193,-0.002054,-0.007700"
"31/12/2002,-0.010637,-0.005511,0.000817,0.022286,0.031136"
"31/01/2003,-0.009500,-0.008243,0.009683,0.010847,-0.003204"
"28/02/2003,-0.000240,0.001321,-0.002895,0.006065,0.025840"
"31/03/2003,-0.001653,-0.001869,0.008154,-0.004408,-0.014411"
"30/04/2003,0.017084,0.020207,0.025725,0.006643,0.008306"
"31/05/2003,-0.009705,-0.005055,-0.004938,0.035694,0.052391"
"30/06/2003,0.012039,0.011040,0.003385,-0.014759,-0.016829"
"31/07/2003,-0.006211,-0.012734,0.008949,-0.048709,-0.083654"
"31/08/2003,0.017926,0.019213,0.008512,-0.003305,0.015425"
"30/09/2003,-0.003452,0.001823,0.000096,0.017010,0.042520"
"31/10/2003,0.006482,0.005369,0.011948,-0.019131,-0.023946"
"30/11/2003,-0.004699,-0.003276,0.005631,0.004191,0.005318"
"31/12/2003,-0.006326,-0.002351,0.003202,0.009304,0.006085"
"31/01/2004,0.006656,0.007798,-0.000173,0.003987,0.015018"
"29/02/2004,0.003650,0.005237,-0.003378,0.018008,0.014905"
"31/03/2004,-0.004924,-0.004121,-0.004078,-0.000850,0.011999"
"30/04/2004,0.004168,-0.000763,0.006676,-0.020096,-0.046028"
"31/05/2004,-0.006978,-0.007027,-0.004098,-0.001391,-0.003812"
"30/06/2004,0.001937,0.002365,-0.003189,-0.001065,0.009263"
"31/07/2004,0.009796,0.011086,0.002316,0.011177,0.013272"
"31/08/2004,-0.003401,-0.000055,0.000126,0.021388,0.029973"
"30/09/2004,-0.004098,-0.002187,0.004207,0.012273,0.009242"
"31/10/2004,-0.008199,-0.005562,0.001604,0.004837,0.011573"
"30/11/2004,-0.020945,-0.018575,0.008542,0.006298,-0.017112"
"31/12/2004,-0.003072,0.000244,0.005163,0.016368,0.020319"
"31/01/2005,0.010629,0.011693,-0.001190,0.016953,0.025657"
"28/02/2005,0.005906,0.006300,0.005405,-0.009158,-0.010467"
"31/03/2005,-0.015636,-0.019280,-0.017175,0.005208,-0.006650"
"30/04/2005,-0.004249,-0.001645,-0.013956,0.015658,0.028401"
"31/05/2005,0.015208,0.015614,-0.002240,0.011097,0.022155"
"30/06/2005,0.006602,0.007931,0.000033,0.017770,0.013129"
"31/07/2005,0.001007,-0.000808,0.009761,-0.013146,-0.023247"
"31/08/2005,-0.001257,0.002310,-0.005950,0.018792,0.022832"
"30/09/2005,-0.007705,-0.011564,-0.005591,-0.006143,-0.026082"
"31/10/2005,0.003973,0.001001,-0.004717,-0.011956,-0.018204"
"30/11/2005,0.009928,0.010435,0.003494,0.005550,0.002979"
"31/12/2005,-0.005482,-0.002830,-0.002440,0.016300,0.019408"
"31/01/2006,0.000628,0.002045,0.001788,-0.009530,-0.010640"
"28/02/2006,0.003737,0.003928,0.006130,0.001937,0.006336"
"31/03/2006,-0.007518,-0.012876,-0.003230,-0.023422,-0.035330"
"30/04/2006,-0.003595,-0.002964,0.005094,-0.022507,-0.022583"
"31/05/2006,-0.008456,-0.006992,-0.006051,0.003448,-0.001352"
"30/06/2006,0.005044,0.003659,-0.005132,-0.005786,0.005856"
"31/07/2006,0.005918,0.009097,0.001980,0.011466,0.011710"
"31/08/2006,0.003432,0.007973,0.002356,0.026169,0.020316"
"30/09/2006,0.004799,0.005836,0.002283,0.005157,0.011205"
"31/10/2006,0.005493,0.008722,0.006201,0.006526,0.003507"
"30/11/2006,-0.004755,-0.000404,0.004930,0.010886,0.014479"
"31/12/2006,0.002876,-0.000649,-0.000169,-0.015685,-0.021743"
"31/01/2007,0.014855,0.013815,0.005230,-0.013545,-0.009752"
"28/02/2007,-0.001038,0.002960,0.003150,0.016130,0.021610"
"31/03/2007,-0.011073,-0.013375,-0.009925,-0.013132,-0.014854"
"30/04/2007,0.001829,0.003634,0.004778,0.002715,0.004302"
"31/05/2007,0.008822,0.006420,0.002246,-0.016959,-0.017696"
"30/06/2007,0.002673,0.001030,-0.004778,-0.016186,-0.012798"
"31/07/2007,-0.030436,-0.029559,-0.028608,0.016753,0.017819"
"31/08/2007,-0.008415,-0.007655,-0.008160,0.003198,0.008231"
"30/09/2007,-0.008251,-0.006453,0.007646,-0.004858,-0.004138"
"31/10/2007,0.002414,0.005901,0.004798,0.010766,0.010210"
"30/11/2007,-0.033230,-0.034327,-0.047182,0.004646,0.028650"
"31/12/2007,0.003097,0.002572,0.006085,-0.003538,-0.006468"
"31/01/2008,-0.040499,-0.041489,-0.033019,0.004602,0.008982"
"29/02/2008,-0.031566,-0.033416,-0.012860,-0.001931,-0.006159"
"31/03/2008,-0.036825,-0.038624,-0.020616,-0.001190,0.006119"
"30/04/2008,0.048379,0.050988,0.040147,-0.007139,-0.010333"
"31/05/2008,0.007460,0.005369,0.001904,-0.013465,-0.016387"
"30/06/2008,-0.009712,-0.010610,-0.022814,-0.000130,0.014338"
"31/07/2008,-0.016954,-0.017976,-0.015075,0.012011,-0.004869"
"31/08/2008,0.006517,0.004656,-0.013092,0.005702,0.019878"
"30/09/2008,-0.079232,-0.100753,-0.100725,-0.012046,-0.003867"
"31/10/2008,-0.079370,-0.116461,-0.079486,-0.036054,-0.042201"
"30/11/2008,-0.018791,-0.006414,-0.050369,0.051962,0.110930"
"31/12/2008,0.004342,0.026238,0.048901,0.036452,0.086640"
"31/01/2009,0.035122,0.026352,0.055217,-0.050107,-0.083392"
"28/02/2009,0.005159,-0.001278,-0.020062,0.003416,-0.009092"
"31/03/2009,-0.041853,-0.043440,-0.060890,0.016779,0.042530"
"30/04/2009,0.039670,0.048987,0.089202,-0.009253,-0.050207"
"31/05/2009,0.048181,0.063314,0.079122,-0.016416,-0.029063"
"30/06/2009,0.041370,0.051831,0.044905,0.017988,0.008329"
"31/07/2009,0.044651,0.055131,0.065149,0.007703,0.004583"
"31/08/2009,0.003726,0.008996,0.003609,0.015544,0.014936"
"30/09/2009,-0.000958,0.002791,0.007729,0.003794,0.017394"
"31/10/2009,0.012015,0.013570,0.013873,-0.004162,-0.016237"
"30/11/2009,-0.021691,-0.019221,-0.006992,0.010869,0.011306"
"31/12/2009,0.041193,0.037573,0.043439,-0.022873,-0.048309"
"31/01/2010,0.011988,0.014678,-0.010499,0.004178,0.018328"
"28/02/2010,-0.009668,-0.011614,-0.000866,-0.005038,0.000783"
"31/03/2010,0.021419,0.022553,0.019092,-0.000086,-0.016432"
"30/04/2010,0.021336,0.025127,0.004833,0.009295,0.025148"
"31/05/2010,-0.019184,-0.023839,-0.054769,0.009264,0.038327"
"30/06/2010,0.006245,0.012190,-0.006244,0.020562,0.041686"
"31/07/2010,-0.008485,-0.002780,0.022041,0.014926,-0.001879"
"31/08/2010,-0.008439,-0.002093,-0.029183,0.043696,0.066041"
"30/09/2010,-0.011059,-0.009591,0.014945,-0.005365,-0.017430"
"31/10/2010,-0.011262,-0.012723,0.017782,-0.015389,-0.035390"
"30/11/2010,0.034824,0.029937,0.003894,-0.030114,-0.011399"
"31/12/2010,-0.018028,-0.017858,0.031629,-0.002046,-0.035449"
"31/01/2011,0.006719,0.006091,0.010554,-0.013937,-0.023243"
"28/02/2011,0.012558,0.015912,0.005849,0.004326,0.012594"
"31/03/2011,-0.003533,-0.004095,-0.003918,-0.004653,0.000604"
"30/04/2011,-0.006752,-0.000543,0.005508,0.019490,0.014254"
"31/05/2011,0.008173,0.010120,-0.010519,0.011257,0.030909"
"30/06/2011,-0.019384,-0.023491,-0.001957,-0.008489,-0.019486"
"31/07/2011,0.011390,0.018651,0.003016,0.019634,0.040270"
"31/08/2011,-0.033232,-0.033532,-0.079966,0.024265,0.084629"
"30/09/2011,0.009935,0.011813,-0.065259,0.030839,0.099669"
"31/10/2011,0.039674,0.045876,0.066432,-0.014224,-0.039019"
"30/11/2011,-0.028245,-0.035843,-0.062051,0.001411,0.026578"
"31/12/2011,0.013665,0.020165,0.010664,0.024199,0.030552"
"31/01/2012,0.011604,0.016326,0.022903,0.005367,-0.001706"
"29/02/2012,0.028008,0.030341,0.030892,-0.004253,-0.019218"
"31/03/2012,-0.006293,-0.009888,0.008534,-0.008078,-0.037011"
"30/04/2012,-0.002814,0.000659,-0.018930,0.014225,0.041168"
"31/05/2012,-0.006926,-0.005040,-0.049931,0.035261,0.073960"
"30/06/2012,0.014851,0.015692,0.015338,-0.015301,-0.013070"
"31/07/2012,0.028514,0.036695,0.023084,0.022444,0.030624"
"31/08/2012,-0.000229,0.000273,0.005876,-0.004008,-0.010715"
"30/09/2012,-0.004013,-0.002738,0.023680,0.003512,-0.019680"
"31/10/2012,0.029434,0.032109,0.025543,-0.003146,-0.000590"
"30/11/2012,-0.005635,-0.006165,-0.022737,0.007701,0.012431"
"31/12/2012,0.014069,0.014194,0.015365,-0.005889,-0.019918"
"31/01/2013,0.002331,-0.001073,0.012120,-0.019113,-0.035160"
"28/02/2013,0.010056,0.010057,-0.003024,0.003057,0.011735"
"31/03/2013,-0.008502,-0.008406,-0.004020,0.017509,-0.001204"
"30/04/2013,0.024062,0.029760,0.000051,0.019800,0.038959"
"31/05/2013,0.010719,0.004191,0.014004,-0.039955,-0.060926"
"30/06/2013,-0.033055,-0.040757,-0.015935,-0.017990,-0.031063"
"31/07/2013,0.003090,0.005497,0.029754,0.001811,-0.020155"
"31/08/2013,-0.004271,-0.005487,-0.003070,-0.001847,-0.006507"
"30/09/2013,-0.014205,-0.011932,-0.003758,0.015135,0.001439"
"31/10/2013,0.007987,0.011647,0.011319,0.012408,0.012280"
"30/11/2013,0.010762,0.009518,0.014855,-0.009877,-0.025631"
"31/12/2013,0.017996,0.018447,0.023681,-0.012216,-0.017948"
"31/01/2014,-0.002725,0.002087,-0.021060,0.031377,0.053651"
"28/02/2014,0.003030,0.006421,0.011723,0.009860,0.007374"
"31/03/2014,0.003345,0.003914,-0.000176,0.002383,0.007715"
"30/04/2014,0.004941,0.008451,0.002379,0.013053,0.018640"
"31/05/2014,0.008562,0.011302,-0.006368,0.012126,0.026912"
"30/06/2014,-0.007228,-0.006341,0.004449,0.009180,-0.001719"
"31/07/2014,0.004079,0.004092,-0.003724,0.007123,0.006327"
"31/08/2014,0.006759,0.010746,-0.011702,0.026001,0.038828"
"30/09/2014,0.011155,0.006422,-0.010490,-0.015456,-0.017980"
"31/10/2014,0.010835,0.012731,-0.009238,0.008098,0.024638"
"30/11/2014,0.007743,0.009478,-0.017505,0.018054,0.026198"
"31/12/2014,-0.001334,0.000174,-0.017811,0.022266,0.031123"
"31/01/2015,0.017836,0.025376,-0.029764,0.038653,0.080299"
"28/02/2015,0.005448,0.002203,0.030336,-0.019752,-0.051183"
"31/03/2015,-0.003659,-0.004646,-0.010270,0.009652,0.009326"
"30/04/2015,-0.013377,-0.015706,0.008189,-0.014872,-0.031544"
"31/05/2015,0.019133,0.015606,-0.003631,-0.023541,-0.016597"
"30/06/2015,-0.016891,-0.023395,0.001159,-0.023920,-0.038587"
"31/07/2015,-0.000793,0.002370,-0.019123,0.024372,0.034477"
"31/08/2015,-0.016820,-0.020051,-0.012061,-0.003346,0.000275"
"30/09/2015,-0.014174,-0.013842,-0.007867,0.013793,0.012355"
"31/10/2015,0.006149,0.008406,0.013395,0.005418,-0.004473"
"30/11/2015,0.017191,0.015765,0.003188,-0.006034,-0.005724"
"31/12/2015,-0.023498,-0.026652,-0.012373,-0.000444,0.000723"
"31/01/2016,-0.032742,-0.033514,-0.051086,0.031521,0.044150"
"29/02/2016,-0.042826,-0.040251,-0.013067,0.034745,0.028657"
"31/03/2016,0.018576,0.030505,0.051610,0.018789,-0.001744"
"30/04/2016,0.003239,0.008284,0.030803,0.006480,-0.005393"
"31/05/2016,0.010058,0.009699,-0.008823,0.008542,0.009012"
"30/06/2016,-0.043388,-0.037021,-0.020869,0.050827,0.055354"
"31/07/2016,0.027558,0.034905,0.008054,0.005946,0.022993"
"31/08/2016,0.021360,0.022948,0.014439,-0.008837,-0.007778"
"30/09/2016,-0.013434,-0.015670,0.006418,-0.006319,-0.017273"
"31/10/2016,0.025849,0.019202,0.020961,-0.037508,-0.040086"
"30/11/2016,0.026022,0.016637,0.027552,-0.037423,-0.070041"
"31/12/2016,0.029467,0.032827,0.021753,-0.006054,-0.005609"
"31/01/2017,-0.001277,-0.000741,-0.002687,-0.014550,0.002635"
"28/02/2017,0.004625,0.008711,0.004445,0.015734,0.014597"
"31/03/2017,-0.004718,-0.005659,-0.002010,-0.002949,-0.005954"
"30/04/2017,0.002073,0.006042,0.000836,0.012676,0.013992"
"31/05/2017,0.002822,0.006999,0.001795,0.007376,0.018492"
"30/06/2017,0.015396,0.016874,0.006774,-0.006783,0.004806"
"31/07/2017,-0.006547,-0.004309,0.013594,0.002137,-0.008301"
"31/08/2017,-0.006184,-0.003832,-0.021547,0.015468,0.032376"
"30/09/2017,0.018578,0.018413,0.021026,-0.012343,-0.019909"
"31/10/2017,0.009984,0.011258,0.008803,0.003754,-0.000054"
"30/11/2017,-0.016268,-0.015048,-0.004259,0.011678,0.009315"
"31/12/2017,0.017676,0.021703,0.005036,0.001415,0.017102"
"31/01/2018,-0.022278,-0.022916,0.019325,-0.000437,-0.029186"
"28/02/2018,-0.030716,-0.038091,-0.004261,-0.000180,-0.029601"
"31/03/2018,-0.018192,-0.016255,-0.023619,0.021906,0.028282"
"30/04/2018,0.008134,0.003574,-0.000028,-0.013785,-0.017685"
"31/05/2018,0.004391,0.003664,-0.016150,0.001101,0.017436"
"30/06/2018,-0.005527,-0.008524,-0.015767,-0.000668,0.001662"
"31/07/2018,0.022752,0.025690,0.031510,-0.008435,-0.014563"
"31/08/2018,0.004435,0.004989,-0.013317,-0.002870,0.012469"
"30/09/2018,0.012089,0.010308,0.023658,-0.014093,-0.028383"
"31/10/2018,-0.020448,-0.028785,-0.005866,-0.005888,-0.031913"
"30/11/2018,-0.013562,-0.015799,-0.023974,0.003407,0.015330"
"31/12/2018,-0.019185,-0.013487,-0.030551,0.027214,0.046656"
"31/01/2019,0.015706,0.025465,0.029203,0.015208,0.004037"
"28/02/2019,0.013853,0.013968,0.011103,-0.006376,-0.013188"
"31/03/2019,0.009837,0.019221,-0.009127,0.028167,0.046304"
"30/04/2019,0.018108,0.019372,0.024657,-0.010563,-0.019917"
"31/05/2019,-0.016359,-0.012260,-0.042484,0.027704,0.058047"
"30/06/2019,0.007952,0.017504,0.027842,0.021292,0.008145"
"31/07/2019,0.008399,0.010909,0.010429,0.010992,0.002758"
"31/08/2019,-0.006882,0.004284,-0.046364,0.051793,0.096845"
"30/09/2019,0.010520,0.007676,0.010657,-0.017163,-0.023793"
"31/10/2019,0.010561,0.012610,0.014306,-0.010071,-0.011909"
"30/11/2019,0.018973,0.019643,0.011578,-0.009148,-0.004765"
"31/12/2019,0.006810,0.007599,0.029039,-0.012540,-0.030060"
"31/01/2020,0.005122,0.013122,-0.028807,0.034126,0.062921"
"29/02/2020,-0.007981,-0.005685,-0.047399,0.018132,0.058044"
"31/03/2020,-0.088210,-0.114829,-0.159740,-0.019033,0.047662"
"30/04/2020,0.056955,0.074657,0.053982,0.018152,0.018889"
"31/05/2020,0.015693,0.017551,0.029881,-0.008217,-0.019430"
"30/06/2020,0.023095,0.028365,0.023906,-0.000223,0.000945"
"31/07/2020,0.018054,0.029606,0.019719,0.026989,0.041338"
"31/08/2020,-0.010666,-0.015790,0.007202,-0.021702,-0.042943"
"30/09/2020,-0.011802,-0.013130,-0.008499,0.009971,0.003622"
"31/10/2020,-0.003967,-0.004666,0.024754,-0.002165,-0.029679"
"30/11/2020,0.035545,0.044768,0.041835,0.006307,0.011641"
"31/12/2020,-0.007685,-0.005933,0.014865,0.006835,-0.012296"
"31/01/2021,-0.001923,-0.006416,0.009170,-0.017953,-0.036380"
"28/02/2021,0.012424,0.006400,0.023775,-0.040488,-0.055120"
"31/03/2021,0.000113,-0.005425,0.021022,-0.011672,-0.049595"
"30/04/2021,0.004961,0.008255,-0.005974,0.001882,0.022881"
"31/05/2021,0.001664,0.003984,0.006362,0.003798,0.003566"
"30/06/2021,0.033758,0.038618,0.001228,0.007342,0.037481"
"31/07/2021,-0.008724,-0.004202,-0.013524,0.030053,0.034735"
"31/08/2021,0.001317,0.000086,-0.002657,-0.006048,-0.002021"
"30/09/2021,0.012329,0.007897,0.009662,-0.026417,-0.027626"
"31/10/2021,0.012108,0.014822,-0.003612,0.006801,0.021841"
"30/11/2021,-0.010471,-0.010543,-0.022589,0.017381,0.026971"
"31/12/2021,0.012387,0.012018,0.009961,-0.014277,-0.012129"
"31/01/2022,-0.023650,-0.035603,-0.014761,-0.023928,-0.034348"
"28/02/2022,-0.016678,-0.024992,-0.019967,-0.018931,-0.010497"
"31/03/2022,0.019648,0.013258,0.025592,-0.026589,-0.039266"
"30/04/2022,-0.009563,-0.034870,-0.008727,-0.054839,-0.084167"
"31/05/2022,0.018205,0.019033,0.028949,-0.021520,-0.024859"
"30/06/2022,0.004120,-0.008509,-0.028444,-0.030984,-0.008419"
"31/07/2022,0.014347,0.027243,0.021450,0.034380,0.022465"
"31/08/2022,0.011972,-0.002147,-0.000743,-0.044376,-0.036304"
"30/09/2022,-0.009203,-0.036593,-0.008391,-0.053374,-0.067240"
"31/10/2022,0.000965,-0.003906,0.033007,-0.013853,-0.054520"
"30/11/2022,0.020885,0.046599,0.020061,0.043194,0.064182"
"31/12/2022,-0.001392,-0.004914,0.005548,-0.031230,-0.018782"
